features_id,id,floorCount,architectureType,exteriorType,foundationType,roofType,fireplace,unitCount,garage,garageSpaces,garageType,cooling,coolingType,heating,heatingType,roomCount,pool,fireplaceType,poolType,squareFootage,bedrooms,bathrooms
271,"6503-Bluff-Springs-Rd,-Austin,-TX-78744",,,,,,,,,,,,,,,,,,,,1.0,1.0
272,"8312-Fathom-Cir,-Austin,-TX-78750",,,,,,,,,,,,,,,,,,,,,
273,"2320-Gracy-Farms-Ln,-Apt-233,-Austin,-TX-78758",1.0,Condo / Apartment,,,,,1.0,True,1.0,Detached,,,,,,,,,799.0,1.0,1.0
274,"14100-Avery-Ranch-Blvd,-Unit-701,-Austin,-TX-78717",1.0,Condo / Apartment,Stone,Slab / Mat / Raft,Other,,1.0,True,1.0,Garage,True,Central,True,Central,,,,,1378.0,2.0,2.0
275,"7224-Northeast-Dr,-Austin,-TX-78723",,,,,,,,,,,,,,,,,,,,,
276,"1624-E-6th-St,-Unit-233,-Austin,-TX-78702",,,,,,,,,,,,,,,,,,,1231.0,2.0,2.0
277,"313-Brazos-St,-Unit-236,-Austin,-TX-78701",,,,,,,,,,,,,,,,,,,1271.0,2.0,2.0
278,"8001-S-Ih,---35,-Austin,-TX-78744",,,,,,,,,,,,,,,,,,,,,
279,"2505-Longview-St,-Austin,-TX-78705",,,,,,,,,,,,,,,,,,,,4.0,2.0
280,"10926-Jollyville-Rd,-Austin,-TX-78759",,,,,,,,,,,,,,,,,,,,,
281,"301-West-Ave,-Apt-3502,-Austin,-TX-78701",1.0,Condo / Apartment,,,,,,,,,,,,,,,,,1322.0,2.0,2.0
282,"1781-Spyglass-Dr,-Austin,-TX-78746",,,,,,,,,,,,,,,,,,,655.0,1.0,1.0
283,"12345-Lamplight-Village-Ave,-Austin,-TX-78758",,,,,,,,,,,,,,,,,,,728.0,1.0,1.0
284,"9501-N-Fm-620-Rd,-Austin,-TX-78726",,,,,,,,,,,,,,,,,,,909.0,1.0,1.0
285,"500-E-Anderson-Ln,-Austin,-TX-78752",,,,,,,,,,,,,,,,,,,,,
286,"7610-Cameron-Rd,-Austin,-TX-78752",,,,,,,,,,,,,,,,,,,,,1.0
287,"9617-Great-Hills-Trl,-Austin,-TX-78759",,,,,,,,,,,,,,,,,,,,,
288,"2403-Gateshead-Cir,-Austin,-TX-78745",1.0,,,Slab / Mat / Raft,Metal,True,1.0,True,1.0,Carport,True,Commercial,True,Central,,,,,2079.0,4.0,1.0
289,"625-E-Stassney-Ln,-Austin,-TX-78745",,,,,,,,,,,,,,,,,,,,,
290,"2302-E-William-Cannon-Dr,-Austin,-TX-78744",,,,,,,,,,,,,,,,,,,,2.0,2.0
291,"3621-W-Slaughter-Ln,-Austin,-TX-78749",,,,,,,,,,,,,,,,,,,815.0,1.0,1.0
292,"1200-Treadwell-St,-Austin,-TX-78704",,,,,,,,,,,,,,,,,,,701.0,1.0,1.0
293,"4525-Guadalupe-St,-Austin,-TX-78751",,,,,,,,,,,,,,,,,,,1232.0,2.0,1.0
294,"8805-N-Plaza-Dr,-Austin,-TX-78753",,,,,,,,,,,,,,,,,,,,,
295,"111-Sandra-Muraida-Way,-Austin,-TX-78703",,,,,,,,,,,,,,,,,,,1079.0,1.0,1.5
296,"600-E-53rd-St,-Austin,-TX-78751",,,,,,,,,,,,,,,,,,,,1.0,1.0
297,"1624-E-6th-St,-Unit-12,-Austin,-TX-78702",,,,,,,,,,,,,,,,,,,434.0,,1.0
298,"2201-Montopolis-Dr,-Austin,-TX-78741",,,,,,,,,,,,,,,,,,,750.0,1.0,1.0
299,"1300-Pleasant-Valley-Rd-S,-Austin,-TX-78741",,,,,,,,,,,,,,,,,,,,,
300,"2800-Bartons-Bluff-Ln,-Austin,-TX-78746",,,,,,,,,,,,,,,,,,,907.0,2.0,2.0
301,"1401-Enfield-Rd,-Austin,-TX-78703",,,,,,,,,,,,,,,,,,,,1.0,1.0
302,"4017-Victory-Dr,-Austin,-TX-78704",,,,,,,,,,,,,,,,,,,,,
303,"8912-N-Lamar-Blvd,-Austin,-TX-78753",,,,,,,,,,,,,,,,,,,,,1.0
304,"10600-Jollyville-Rd,-Austin,-TX-78759",,,,,,,,,,,,,,,,,,,618.0,1.0,1.0
305,"2201-Willow-Creek-Dr,-Austin,-TX-78741",,,,,,,,,,,,,,,,,,,655.0,1.0,1.0
306,"4511-Dudmar-Dr,-Austin,-TX-78735",1.0,,,Slab / Mat / Raft,Composition Shingle,,1.0,True,2.0,Attached,True,Commercial,True,Central,,,,,1439.0,4.0,2.5
307,"1600-Barton-Springs-Rd,-Unit-2404,-Austin,-TX-78704",1.0,Condo / Apartment,,,,,,,,,,,,,,True,,,946.0,2.0,2.0
308,"6908-Colorado-Bluffs-Rd,-Austin,-TX-78744",1.0,,,Slab / Mat / Raft,Composition Shingle,,,True,1.0,Attached,True,Commercial,True,,,,,,1983.0,4.0,3.0
309,"460-Bastrop-Hwy-S,-Austin,-TX-78741",,,,,,,,,,,,,,,,,,,981.0,3.0,2.0
310,"1500-Scenic-Dr,-Apt-106,-Austin,-TX-78703",1.0,Condo / Apartment,,,,,1.0,,,,,,,,,,,,1292.0,2.0,2.5
311,"7000-E-Ben-White-Blvd,-Austin,-TX-78741",,,,,,,,,,,,,,,,,,,,2.0,2.0
312,"3406-Barranca-Cir,-Austin,-TX-78731",2.0,,,Slab / Mat / Raft,Metal,True,1.0,True,2.0,Carport,True,Commercial,True,Central,,,,,3612.0,4.0,4.0
313,"1003-Justin-Ln,-Austin,-TX-78757",,,,,,,,,,,,,,,,,,,,,
314,"300-West-Ave,-Austin,-TX-78701",,,,,,,,,,,,,,,,,,,,,1.0
315,"2016-Park-Bend-Dr,-Austin,-TX-78758",3.0,Multi-Unit Building,,Slab / Mat / Raft,Composition Shingle,True,2.0,,,,,,,,,,,,184900.0,,
316,"6600-Ed-Bluestein-Blvd,-Austin,-TX-78723",,,,,,,,,,,,,,,,,,,500.0,1.0,1.0
317,"515-E-Slaughter-Ln,-Austin,-TX-78744",,,,,,,,,,,,,,,,,,,819.0,1.0,1.0
318,"127-E-Riverside-Dr,-Austin,-TX-78704",,,,,,,,,,,,,,,,,,,1184.0,2.0,2.0
319,"1200-E-Parmer-Ln,-Austin,-TX-78753",,,,,,,,,,,,,,,,,,,,,
320,"700-Hearn-St,-Austin,-TX-78703",,,,,,,,,,,,,,,,,,,,1.0,1.0
321,"7601-Rialto-Blvd,-Austin,-TX-78735",,,,,,,,,,,,,,,,,,,,,
322,"2200-S-Pleasant-Valley-Rd,-Austin,-TX-78741",,,,,,,,,,,,,,,,,,,,0.0,1.0
323,"15510-Ranch-Road-620-Rd,-Austin,-TX-78717",,,,,,,,,,,,,,,,,,,,,
324,"8701-Bluffstone-Cv,-Austin,-TX-78759",,,,,,,,,,,,,,,,,,,,,
325,"14100-Thermal-Dr,-Austin,-TX-78728",,,,,,,,,,,,,,,,,,,,,
326,"2900-Sunridge-Dr,-Austin,-TX-78741",,,,,,,,,,,,,,,,,,,,,
327,"5605-Springdale-Rd,-Austin,-TX-78723",,,,,,,,,,,,,,,,,,,1050.0,2.0,2.0
328,"8617-Spicewood-Springs-Rd,-Austin,-TX-78759",,,,,,,,,,,,,,,,,,,,,
329,"8519-Cahill-Dr,-Austin,-TX-78729",,,,,,,,,,,,,,,,,,,,,
330,"8715-W-Hwy,-71,-Austin,-TX-78735",,,,,,,,,,,,,,,,,,,,,
331,"4100-W-Slaughter-Ln,-Austin,-TX-78749",,,,,,,,,,,,,,,,,,,,1.0,1.0
332,"9900-Mcneil-Dr,-Austin,-TX-78750",,,,,,,,,,,,,,,,,,,747.0,1.0,1.0
333,"7201-S-Congress-Ave,-Austin,-TX-78745",,,,,,,,,,,,,,,,,,,,,
334,"1300-Spyglass-Dr,-Austin,-TX-78746",,,,,,,,,,,,,,,,,,,,,
335,"8615-Rockwood-Ln,-Austin,-TX-78757",,,,,,,,,,,,,,,,,,,,1.0,1.0
336,"11011-Domain-Dr,-Austin,-TX-78758",,,,,,,,,,,,,,,,,,,1053.0,1.0,1.0
337,"815-W-Slaughter-Ln,-Austin,-TX-78748",,,,,,,,,,,,,,,,,,,,,
338,"12118-Walnut-Park-Xing,-Austin,-TX-78753",,,,,,,,,,,,,,,,,,,1005.0,2.0,1.0
339,"8001-Highway,-71-W,-Austin,-TX-78736",,,,,,,,,,,,,,,,,,,,2.0,
340,"10050-Great-Hills-Trl,-Austin,-TX-78759",,,,,,,,,,,,,,,,,,,804.0,1.0,1.0
341,"2202-2204-Enfield-Rd,-Austin,-TX-78703",,,,,,,,,,,,,,,,,,,,2.0,1.0
342,"1845-River-Crossing-Cir,-Austin,-TX-78741",,,,,,,,,,,,,,,,,,,1076.0,2.0,1.0
343,"201-Lavaca-St,-Austin,-TX-78701",,,,,,,,,,,,,,,,,,,856.0,1.0,1.0
344,"5417-S-Mo-Pac-Expy,-Austin,-TX-78749",,,,,,,,,,,,,,,,,,,,,
345,"2900-Manor-Rd,-Austin,-TX-78722",,,,,,,,,,,,,,,,,,,,,
346,"7200-Duval-St,-Austin,-TX-78752",,,,,,,,,,,,,,,,,,,,,1.0
347,"8405-Old-Bee-Caves-Rd,-Austin,-TX-78735",,,,,,,,,,,,,,,,,,,1083.0,2.0,2.0
348,"1127-Pearl-Retreat-Ln,-Austin,-TX-78753",,,,,,,,,,,,,,,,,,,,,
349,"12101-N-Lamar-Blvd,-Austin,-TX-78753",,,,,,,,,,,,,,,,,,,1235.0,2.0,2.0
350,"2310-Wickersham-Ln,-Austin,-TX-78741",,,,,,,,,,,,,,,,,,,148100.0,,
351,"1717-Toomey-Rd,-Austin,-TX-78704",,,,,,,,,,,,,,,,,,,761.0,1.0,1.0
352,"3501-Shoreline-Dr,-Austin,-TX-78728",,,,,,,,,,,,,,,,,,,782.0,1.0,1.0
353,"1143-Shady-Ln,-Austin,-TX-78721",,,,,,,,,,,,,,,,,,,,,1.0
354,"14000-Renaissance-Ct,-Austin,-TX-78728",,,,,,,,,,,,,,,,,,,,1.0,1.0
355,"11301-Farrah-Ln,-Austin,-TX-78748",,,,,,,,,,,,,,,,,,,,,
356,"1521-Reagan-Hill-Dr,-Austin,-TX-78752",,,,,,,,,,,,,,,,,,,,,1.0
357,"9301-Old-Bee-Caves-Rd,-Austin,-TX-78735",,,,,,,,,,,,,,,,,,,1575.0,3.0,3.0
358,"12820-N-Lamar-Blvd,-Austin,-TX-78753",,,,,,,,,,,,,,,,,,,684.0,2.0,2.0
359,"13201-Legendary-Dr,-Austin,-TX-78727",,,,,,,,,,,,,,,,,,,668.0,1.0,1.0
360,"4716-Duval-Rd,-Austin,-TX-78727",,,,,,,,,,,,,,,,,,,865.0,1.0,1.0
361,"2126-Goodrich-Ave,-Austin,-TX-78704",,,,,,,,,,,,,,,,,,,,,
362,"5705-Diehl-Trl,-Austin,-TX-78727",,,,,,,,,,,,,,,,,,,750.0,1.0,1.0
363,"507-Pressler-St,-Austin,-TX-78703",,,,,,,,,,,,,,,,,,,1236.0,2.0,2.0
364,"11500-Jollyville-Rd,-Austin,-TX-78759",,,,,,,,,,,,,,,,,,,,,
365,"5020-Manor-Rd,-Austin,-TX-78723",,,,,,,,,,,,,,,,,,,,3.0,2.0
366,"9009-N-Fm-620-Rd,-Austin,-TX-78726",,,,,,,,,,,,,,,,,,,800.0,1.0,1.5
367,"3101-Wells-Branch-Pkwy,-Austin,-TX-78728",,,,,,,,,,,,,,,,,,,,2.0,2.0
368,"1401-Saint-Edwards-Dr,-Austin,-TX-78704",,,,,,,,,,,,,,,,,,,,,
369,"304-E-William-Cannon-Dr,-Austin,-TX-78745",,,,,,,,,,,,,,,,,,,,,
370,"3101-Shoreline-Dr,-Austin,-TX-78728",,,,,,,,,,,,,,,,,,,,,
371,"12100-Metric-Blvd,-Austin,-TX-78758",,,,,,,,,,,,,,,,,,,,1.0,1.0
372,"600-Barwood-Park,-Austin,-TX-78753",,,,,,,,,,,,,,,,,,,,,
373,"1909-Rio-Grande-St,-Austin,-TX-78705",,,,,,,,,,,,,,,,,,,,,
374,"3400-Ranch-Rd,-620-S,-Austin,-TX-78738",,,,,,,,,,,,,,,,,,,,,
375,"1630-E-6th-St,-Austin,-TX-78702",,,,,,,,,,,,,,,,,,,466.0,1.0,1.0
376,"2810-Hemphill-Park,-Austin,-TX-78705",,,,,,,,,,,,,,,,,,,,,
377,"3201-Duval-Rd,-Austin,-TX-78759",,,,,,,,,,,,,,,,,,,658.0,1.0,1.0
378,"4310-Ave-B,-Austin,-TX-78751",,,,,,,,,,,,,,,,,,,,0.0,1.0
379,"10301-Burnet-Rd,-Austin,-TX-78758",,,,,,,,,,,,,,,,,,,650.0,1.0,1.0
380,"5400-N-Lamar-Blvd,-Austin,-TX-78751",,,,,,,,,,,,,,,,,,,,1.0,1.0
381,"2425-Cromwell-Cir,-Austin,-TX-78741",,,,,,,,,,,,,,,,,,,585.0,1.0,1.0
382,"2430-Cromwell-Cir,-Austin,-TX-78741",,,,,,,,,,,,,,,,,,,787.0,1.0,1.0
383,"12435-Dessau-Rd,-Austin,-TX-78754",,,,,,,,,,,,,,,,,,,,,
384,"1000-E-5th-St,-Austin,-TX-78702",,,,,,,,,,,,,,,,,,,667.0,2.0,1.0
385,"1901-Onion-Creek-Pkwy,-Austin,-TX-78748",,,,,,,,,,,,,,,,,,,909.0,1.0,1.0
386,"10015-Lake-Creek-Pkwy,-Austin,-TX-78729",,,,,,,,,,,,,,,,,,,901.0,2.0,1.0
387,"12000-Dessau-Rd,-Austin,-TX-78754",,,,,,,,,,,,,,,,,,,650.0,1.0,1.0
388,"3505-S-Lamar-Blvd,-Austin,-TX-78704",,,,,,,,,,,,,,,,,,,398.0,2.0,1.0
389,"8225-N-Fm-620-Rd,-Austin,-TX-78726",,,,,,,451.0,,,,,,,,,,,,,,
390,"1915-Wells-Branch-Pkwy,-Austin,-TX-78728",,,,,,,,,,,,,,,,,,,,,
391,"12638-Ridgeline-Blvd,-Austin,-TX-78613",,,,,,,,,,,,,,,,,,,,,
392,"3600-Greystone-Dr,-Austin,-TX-78731",,,,,,,,,,,,,,,,,,,,,
393,"5708-W-Parmer-Ln,-Austin,-TX-78727",,,,,,,,,,,,,,,,,,,785.0,1.0,1.0
394,"1215-Slaughter-Ln-W,-Austin,-TX-78748",,,,,,,,,,,,,,,,,,,,,
395,"10727-Domain-Dr,-Austin,-TX-78758",,,,,,,,,,,,,,,,,,,758.0,1.0,1.0
396,"10505-S-Interstate-Hwy,-35,-Austin,-TX-78747",,,,,,,,,,,,,,,,,,,,1.0,1.0
397,"833-Fairfield-Dr,-Austin,-TX-78758",,,,,,,,,,,,,,,,,,,793.0,2.0,1.0
398,"4520-Bennett-Ave,-Austin,-TX-78751",,,,,,,,,,,,,,,,,,,,1.0,1.0
399,"12041-Dessau-Rd,-Austin,-TX-78754",,,,,,,,,,,,,,,,,,,,,
400,"11210-FM-2222,-Austin,-TX-78730",,,,,,,,,,,,,,,,,,,,,
401,"4505-Duval-St,-Austin,-TX-78751",,,,,,,,,,,,,,,,,,,,1.0,1.0
402,"1801-Fortview-Rd,-Austin,-TX-78704",,,,,,,,,,,,,,,,,,,,1.0,1.0
403,"1900-Onion-Creek-Pkwy,-Austin,-TX-78748",,,,,,,,,,,,,,,,,,,,,
404,"300-Ferguson-Dr,-Austin,-TX-78753",,,,,,,,,,,,,,,,,,,700.0,1.0,1.0
405,"5010-S-Congress-Ave,-Austin,-TX-78745",,,,,,,,,,,,,,,,,,,,1.0,1.0
406,"6280-Mcneil-Ranch-Dr,-Austin,-TX-78729",,,,,,,,,,,,,,,,,,,,,
407,"2900-Century-Park-Blvd,-Austin,-TX-78727",,,,,,,,,,,,,,,,,,,,0.0,
408,"4800-Steiner-Ranch-Blvd,-Austin,-TX-78732",,,,,,,,,,,,,,,,,,,,,
409,"1620-E-Riverside-Dr,-Austin,-TX-78741",,,,,,,,,,,,,,,,,,,631.0,2.0,1.0
410,"15433-FM-1325,-Austin,-TX-78728",,,,,,,,,,,,,,,,,,,,,
411,"14745-Merriltown-Rd,-Austin,-TX-78728",,,,,,,,,,,,,,,,,,,,2.0,
412,"9520-9521-Spectrum-Dr,-Austin,-TX-78717",,,,,,,,,,,,,,,,,,,,,
413,"8800-Highway,-290-W,-Austin,-TX-78736",,,,,,,,,,,,,,,,,,,,1.0,1.0
414,"6855-E-Hwy,-290,-Austin,-TX-78723",,,,,,,,,,,,,,,,,,,,,
415,"614-S-1st-St,-Austin,-TX-78704",,,,,,,,,,,,,,,,,,,,,
416,"12113-Metric-Blvd,-Austin,-TX-78758",,,,,,,,,,,,,,,,,,,1209.0,2.0,2.0
417,"13401-Metric-Blvd,-Austin,-TX-78727",,,,,,,,,,,,,,,,,,,,,
418,"4821-Riverside-Dr-E,-Austin,-TX-78741",,,,,,,,,,,,,,,,,,,,,
419,"2101-W-Anderson-Ln,-Austin,-TX-78757",,,,,,,,,,,,,,,,,,,828.0,1.0,1.0
420,"7201-Hart-Ln,-Austin,-TX-78731",,,,,,,,,,,,,,,,,,,750.0,1.0,1.0
421,"701-Center-Ridge-Dr,-Austin,-TX-78753",,,,,,,,,,,,,,,,,,,815.0,1.0,1.0
422,"5005-Manor-Rd,-Austin,-TX-78723",,,,,,,,,,,,,,,,,,,,2.0,1.0
423,"10127-Middle-Fiskville-Rd,-Austin,-TX-78753",,,,,,,,,,,,,,,,,,,728.0,1.0,1.0
424,"3503-Speedway,-Austin,-TX-78705",,,,,,,,,,,,,,,,,,,,1.0,1.0
425,"1701-Oak-Hill-Ln,-Austin,-TX-78744",,,,,,,,,,,,,,,,,,,625.0,1.0,1.0
426,"1088-Park-Plaza-Dr,-Austin,-TX-78753",,,,,,,,,,,,,,,,,,,,,
427,"1300-E-Riverside-Dr,-Austin,-TX-78741",,,,,,,,,,,,,,,,,,,585.0,1.0,1.0
428,"409-E-William-Cannon-Dr,-Austin,-TX-78745",,,,,,,,,,,,,,,,,,,481.0,1.0,1.0
429,"1200-1201-Broadmoor-Dr,-Austin,-TX-78723",,,,,,,,,,,,,,,,,,,,,
430,"3300-Parker-Ln,-Austin,-TX-78741",,,,,,,,,,,,,,,,,,,564.0,1.0,1.0
431,"11600-11634-Argonne-Forest-Trl,-Austin,-TX-78759",,,,,,,,,,,,,,,,,,,,3.0,2.0
432,"3100-Kramer-Ln,-Austin,-TX-78758",,,,,,,,,,,,,,,,,,,685.0,1.0,1.0
433,"801-Sugaree-Ave,-Austin,-TX-78757",,,,,,,,,,,,,,,,,,,,1.0,1.0
434,"4711-E-Riverside-Dr,-Austin,-TX-78741",,,,,,,,,,,,,,,,,,,527.0,1.0,1.0
435,"1901-E-Anderson-Ln,-Austin,-TX-78752",,,,,,,,,,,,,,,,,,,,2.0,1.0
436,"739-William-Cannon-Dr-W,-Austin,-TX-78745",,,,,,,,,,,,,,,,,,,,2.0,
437,"4320-Congress-Ave-S,-Austin,-TX-78745",,,,,,,,,,,,,,,,,,,,,
438,"10101-W-Parmer-Ln,-Austin,-TX-78717",,,,,,,,,,,,,,,,,,,610.0,1.0,1.0
439,"1804-W-Rundberg-Ln,-Austin,-TX-78758",,,,,,,,,,,,,,,,,,,,,
440,"7700-N-Capital-Of-Texas-Hwy,-Austin,-TX-78731",,,,,,,,,,,,,,,,,,,,,
441,"3801-S-Congress-Ave,-Austin,-TX-78704",,,,,,,,,,,,,,,,,,,1221.0,2.0,2.0
442,"125-Woodward-St,-Austin,-TX-78704",,,,,,,,,,,,,,,,,,,,2.0,1.0
443,"8505-8525-Shoal-Creek-Blvd,-Austin,-TX-78757",,,,,,,,,,,,,,,,,,,,,
444,"10001-S-1st-St,-Austin,-TX-78748",,,,,,,,,,,,,,,,,,,1055.0,2.0,2.0
445,"3200-S-1st-St,-Austin,-TX-78704",,,,,,,,,,,,,,,,,,,500.0,1.0,1.0
446,"609-Clayton-Ln,-Austin,-TX-78752",,,,,,,,,,,,,,,,,,,650.0,1.0,1.0
447,"13635-Rutledge-Spur,-Austin,-TX-78717",,,,,,,,,,,,,,,,,,,,1.0,2.0
448,"744-W-William-Cannon-Dr,-Austin,-TX-78745",,,,,,,,,,,,,,,,,,,,1.0,1.0
449,"4021-Steck-Ave,-Austin,-TX-78759",,,,,,,,,,,,,,,,,,,611.0,1.0,1.0
450,"8200-8220-Research-Blvd,-Austin,-TX-78758",,,,,,,,,,,,,,,,,,,,,
451,"2900-S-1st-St,-Austin,-TX-78704",,,,,,,,,,,,,,,,,,,575.0,1.0,1.0
452,"12800-Harrisglenn-Dr,-Austin,-TX-78753",,,,,,,340.0,,,,,,,,,,,,,,
453,"1711-Rutland-Dr,-Austin,-TX-78758",,,,,,,,,,,,,,,,,,,,,
454,"4306-N-Quinlan-Park-Rd,-Austin,-TX-78732",,,,,,,,,,,,,,,,,,,1139.0,2.0,2.0
455,"9500-Alice-Mae-Ln,-Austin,-TX-78748",,,,,,,,,,,,,,,,,,,,,1.0
456,"8071-N-Lamar-Blvd,-Austin,-TX-78753",,,,,,,,,,,,,,,,,,,,,1.0
457,"1630-Rutland-Dr,-Austin,-TX-78758",2.0,Duplex,,Slab / Mat / Raft,Composition Shingle,,2.0,,,,,,True,Hot Water,,True,,"Pool, Concrete",186712.0,,1.0
458,"4603-Todds-Farm,-San-Antonio,-TX-78244",1.0,,,Slab / Mat / Raft,Asphalt,,,True,1.0,Attached,True,Central,True,Forced Air,,,,,1800.0,3.0,2.0
459,"500-Tomar-Dr,-San-Antonio,-TX-78227",,,,,,,,,,,,,,,,,,,,,
460,"3787-Perrin-Central-Blvd,-San-Antonio,-TX-78217",,,,,,,,,,,,,,,,,,,,0.0,
461,"17715-Overlook-Loop,-San-Antonio,-TX-78259",,,,,,,,,,,,,,,,,,,709.0,1.0,1.0
462,"1540-W-Bitters-Rd,-San-Antonio,-TX-78248",,,,,,,,,,,,,,,,,,,,,
463,"4620-Thousand-Oaks-Dr,-San-Antonio,-TX-78233",,,,,,,,,,,,,,,,,,,,,
464,"7110-Wurzbach-Rd,-San-Antonio,-TX-78240",,,,,,,,,,,,,,,,,,,600.0,1.0,1.0
465,"7750-Culebra-Rd,-San-Antonio,-TX-78251",,,,,,,,,,,,,,,,,,,,,
466,"7733-Louis-Pasteur-Dr,-San-Antonio,-TX-78229",,,,,,,,,,,,,,,,,,,,,
467,"7314-Oak-Manor-Dr,-San-Antonio,-TX-78229",,,,,,,,,,,,,,,,,,,,1.0,1.0
468,"2519-Broadway-St,-San-Antonio,-TX-78215",,,,,,,,,,,,,,,,,,,,1.0,1.0
469,"7811-Chambers-Rd,-San-Antonio,-TX-78229",,,,,,,,,,,,,,,,,,,,,
470,"12200-W-Interstate-10,-San-Antonio,-TX-78230",,,,,,,,,,,,,,,,,,,,,1.0
471,"400-W-Bitters-Rd,-San-Antonio,-TX-78216",,,,,,,,,,,,,,,,,,,1008.0,2.0,2.0
472,"11146-Vance-Jackson-Rd,-San-Antonio,-TX-78230",,,,,,,,,,,,,,,,,,,,1.0,1.0
473,"3629-Medical-Dr,-San-Antonio,-TX-78229",,,,,,,,,,,,,,,,,,,,,
474,"12910-Clubhouse-Blvd,-San-Antonio,-TX-78221",,,,,,,,,,,,,,,,,,,776.0,1.0,1.0
475,"Alamo-Ranch-Pkwy---1604-And-Loop,-San-Antonio,-TX-78253",,,,,,,,,,,,,,,,,,,,,
476,"2906-Woodcliffe-St,-San-Antonio,-TX-78230",1.0,Contemporary,Asbestos Shingle,Slab / Mat / Raft,Asphalt,,1.0,True,,Attached,,,True,Floor / Wall,5.0,,,,936.0,3.0,1.0
477,"4515-Gardendale-St,-San-Antonio,-TX-78240",,,,,,,,,,,,,,,,,,,1037.0,2.0,2.0
478,"6419-N-Vandiver-Rd,-San-Antonio,-TX-78209",,,,,,,,,,,,,,,,,,,,3.0,2.0
479,"3231-Loop,-1604---1604W,-San-Antonio,-TX-78257",,,,,,,,,,,,,,,,,,,,,
480,"5315-Fredericksburg-Rd,-San-Antonio,-TX-78229",,,,,,,,,,,,,,,,,,,,,
481,"3538-Puesta-De-Sol,-San-Antonio,-TX-78261",2.0,Contemporary,Combination,Slab / Mat / Raft,Asphalt,True,1.0,True,3.0,Attached,True,Central,True,Forced Air,11.0,,,,4282.0,5.0,4.5
482,"6400-Wurzbach-Rd,-San-Antonio,-TX-78240",,,,,,,,,,,,,,,,,,,,,
483,"1935-Broken-Oak-St,-San-Antonio,-TX-78232",,,,,,,,,,,,,,,,,,,,2.0,2.0
484,"6222-S-New-Braunfels-Ave,-San-Antonio,-TX-78223",,,,,,,,,,,,,,,,,,,1178.0,3.0,2.0
485,"5650-Grissom-Rd,-San-Antonio,-TX-78238",,,,,,,,,,,,,,,,,,,,,
486,"223-Brackenridge-Ave,-San-Antonio,-TX-78209",,,,,,,,,,,,,,,,,,,708.0,1.0,1.0
487,"9939-Fredericksburg-Rd,-San-Antonio,-TX-78240",,,,,,,,,,,,,,,,,,,,,
488,"6014-Blanco-Rd,-San-Antonio,-TX-78216",,,,,,,,,,,,,,,,,,,,2.0,2.0
489,"254-Cloverleaf-Ave,-Apt-4,-San-Antonio,-TX-78209",,,,,,,,,,,,,,,,,,,1100.0,2.0,1.0
490,"1835-Lockhill-Selma-Rd,-San-Antonio,-TX-78213",,,,,,,,,,,,,,,,,,,,,
491,"16333-Vance-Jackson-Rd,-San-Antonio,-TX-78257",,,,,,,,,,,,,,,,,,,641.0,1.0,1.0
492,"2551-Cincinnati-Ave,-San-Antonio,-TX-78228",1.0,Other,Asbestos Shingle,Slab / Mat / Raft,Asphalt,,2.0,,,,,,True,Floor / Wall,7.0,,,,1416.0,3.0,2.0
493,"3926-Woodbridge-Way,-San-Antonio,-TX-78257",2.0,Contemporary,Stucco,Slab / Mat / Raft,Tile,,,True,2.0,Attached,True,Central,True,Forced Air,7.0,,,,1988.0,3.0,2.5
494,"137-E-Norwood-Ct,-Apt-3,-San-Antonio,-TX-78212",,,,,,,,,,,,,,,,,,,700.0,1.0,1.0
495,"25138-Summit-Crk,-San-Antonio,-TX-78258",2.0,Contemporary,Combination,Slab / Mat / Raft,Asphalt,True,1.0,True,2.0,Attached,True,Central,True,Forced Air,7.0,,,,2163.0,4.0,2.5
496,"8130-Sunshine-Trail-Dr,-San-Antonio,-TX-78244",2.0,,Brick / Stone,Slab,Asphalt,True,1.0,True,,Attached,True,Central,True,Forced Air,6.0,,,,2153.0,4.0,2.5
497,"112111-Saratoga-Coach,-San-Antonio,-TX-78254",,,,,,,,,,,,,,,,,,,1972.0,3.0,2.5
498,"8523-Spicewood-Bnd,-San-Antonio,-TX-78255",1.0,Contemporary,Combination,Slab / Mat / Raft,Asphalt,,,True,1.0,Attached,True,Central,True,Forced Air,5.0,,,,2136.0,3.0,2.0
499,"8000-8012-Aeromedical-Rd,-San-Antonio,-TX-78235",,,,,,,,,,,,,,,,,,,,,
