features_id,id,floorCount,architectureType,exteriorType,foundationType,roofType,fireplace,unitCount,garage,garageSpaces,garageType,cooling,coolingType,heating,heatingType,roomCount,pool,fireplaceType,poolType,squareFootage,bedrooms,bathrooms
157,"6910-Indian-Lake-Dr,-San-Antonio,-TX-78244",1.0,Contemporary,Combination,Slab / Mat / Raft,Asphalt,,1.0,True,2.0,Attached,True,Central,True,Forced Air,6.0,,,,1695.0,3.0,2.0
158,"5505-Roanwood,-San-Antonio,-TX-78244",,,,,,,,,,,,,,,,,,,987.0,2.0,1.0
159,"7023-Atherton,-San-Antonio,-TX-78244",2.0,Contemporary,Aluminum / Vinyl Siding,Slab / Mat / Raft,Asphalt,,1.0,True,1.0,Attached,True,Central,True,Forced Air,5.0,,,,1501.0,3.0,2.5
160,"5518-Lochmoor,-San-Antonio,-TX-78244",1.0,Contemporary,Wood,Slab / Mat / Raft,Asphalt,True,2.0,True,2.0,Attached,True,Central,True,Forced Air,8.0,,,,1974.0,4.0,2.0
161,"6926-Moon-Lake-Dr,-San-Antonio,-TX-78244",1.0,Contemporary,Combination,Slab / Mat / Raft,Asphalt,,1.0,True,2.0,Attached,True,Central,True,Forced Air,6.0,,,,1471.0,3.0,2.0
162,"5603-Lochmoor,-San-Antonio,-TX-78244",1.0,Contemporary,Brick / Stone,Slab / Mat / Raft,Asphalt,True,2.0,,,,True,Central,True,Forced Air,8.0,,,,3202.0,8.0,4.0
163,"5530-Lochmoor,-San-Antonio,-TX-78244",1.0,Contemporary,Wood,Slab / Mat / Raft,Asphalt,True,2.0,True,2.0,Attached,True,Central,True,Forced Air,8.0,,,,1824.0,4.0,2.0
164,"6826-Twin-Lake-Dr,-San-Antonio,-TX-78244",1.0,Contemporary,Combination,Slab / Mat / Raft,Asphalt,True,1.0,True,2.0,Attached,True,Central,True,Forced Air,5.0,,,,1403.0,3.0,2.0
165,"5532-Lochmoor,-San-Antonio,-TX-78244",,,,,,,,,,,,,,,,,,,912.0,2.0,1.0
166,"6829-Blue-Lake-Dr,-San-Antonio,-TX-78244",1.0,Contemporary,Stucco,Slab / Mat / Raft,Asphalt,,1.0,True,1.0,Garage,True,Central,True,Forced Air,5.0,,,,1326.0,3.0,1.5
167,"7028-Atherton,-San-Antonio,-TX-78244",,,,,,,,,,,,,,,,,,,1824.0,4.0,2.0
168,"6827-Blue-Lake-Dr,-San-Antonio,-TX-78244",1.0,Contemporary,Stucco,Slab / Mat / Raft,Metal,,1.0,True,1.0,Attached,True,Central,True,Forced Air,5.0,,,,1176.0,3.0,1.5
169,"6822-Twin-Lake-Dr,-San-Antonio,-TX-78244",1.0,Contemporary,Wood,Slab / Mat / Raft,Asphalt,,1.0,True,2.0,Attached,True,Central,True,Forced Air,6.0,,,,1218.0,3.0,2.0
170,"6839-Blue-Lake-Dr,-San-Antonio,-TX-78244",1.0,Contemporary,Stucco,Slab / Mat / Raft,Asphalt,,1.0,True,1.0,Attached,True,Central,True,Forced Air,5.0,,,,1077.0,3.0,1.5
171,"6823-Blue-Lake-Dr,-San-Antonio,-TX-78244",1.0,Contemporary,Wood,Slab / Mat / Raft,Asphalt,,1.0,True,,Garage,True,Central,True,Forced Air,6.0,,,,1326.0,3.0,1.5
172,"6834-Twin-Lake-Dr,-San-Antonio,-TX-78244",1.0,Contemporary,Wood,Slab / Mat / Raft,Asphalt,,1.0,True,2.0,Attached,True,Central,True,Forced Air,6.0,,,,1297.0,3.0,2.0
173,"6835-Blue-Lake-Dr,-San-Antonio,-TX-78244",1.0,Contemporary,Stucco,Slab / Mat / Raft,Asphalt,,1.0,True,1.0,Attached,True,Central,True,Forced Air,5.0,,,,1036.0,3.0,1.5
174,"6831-Blue-Lake-Dr,-San-Antonio,-TX-78244",1.0,Contemporary,Stucco,Slab / Mat / Raft,Asphalt,True,1.0,True,,Attached,True,Central,True,Forced Air,6.0,,,,1758.0,3.0,2.0
175,"6906-Twin-Lake-Dr,-San-Antonio,-TX-78244",1.0,Contemporary,Aluminum / Vinyl Siding,Slab / Mat / Raft,Asphalt,,1.0,True,2.0,Attached,True,Central,True,Forced Air,6.0,,,,1445.0,3.0,2.0
176,"6830-Twin-Lake-Dr,-San-Antonio,-TX-78244",1.0,Contemporary,Stucco,Slab / Mat / Raft,Asphalt,,1.0,True,,Garage,True,Central,True,Forced Air,5.0,,,,1220.0,4.0,2.0
177,"6902-Twin-Lake-Dr,-San-Antonio,-TX-78244",1.0,Contemporary,Wood,Slab / Mat / Raft,Asphalt,,1.0,True,2.0,Attached,True,Central,True,Forced Air,6.0,,,,1440.0,4.0,2.0
178,"6902-Quail-Lk,-San-Antonio,-TX-78244",1.0,Contemporary,Combination,Slab / Mat / Raft,Asphalt,True,1.0,True,2.0,Attached,True,Central,True,Forced Air,5.0,,,,1593.0,3.0,2.0
179,"6842-Twin-Lake-Dr,-San-Antonio,-TX-78244",1.0,Contemporary,Aluminum / Vinyl Siding,Slab / Mat / Raft,Asphalt,,1.0,True,2.0,Attached,True,Central,True,Forced Air,5.0,,,,1911.0,3.0,2.0
180,"6914-Trail-Lk,-San-Antonio,-TX-78244",1.0,Contemporary,Wood,Slab / Mat / Raft,Asphalt,True,1.0,True,2.0,Attached,True,Central,True,Forced Air,6.0,,,,1232.0,3.0,2.0
181,"6915-Quail-Lk,-San-Antonio,-TX-78244",2.0,Contemporary,Combination,Slab / Mat / Raft,Asphalt,True,1.0,True,2.0,Attached,True,Central,True,Forced Air,6.0,,,,1730.0,3.0,2.5
182,"6918-Trail-Lk,-San-Antonio,-TX-78244",1.0,Contemporary,Wood,Slab / Mat / Raft,Asphalt,True,1.0,True,2.0,Attached,True,Central,True,Forced Air,5.0,,,,1174.0,3.0,2.0
183,"6843-Blue-Lake-Dr,-San-Antonio,-TX-78244",1.0,Contemporary,Stucco,Slab / Mat / Raft,Asphalt,,1.0,True,1.0,Attached,True,Central,True,Forced Air,5.0,,,,1036.0,3.0,1.5
184,"6934-Trail-Lk,-San-Antonio,-TX-78244",1.0,Contemporary,Wood,Slab / Mat / Raft,Asphalt,True,1.0,True,,Garage,True,Central,True,Forced Air,6.0,,,,1932.0,3.0,2.0
185,"7004-Atherton,-San-Antonio,-TX-78244",1.0,Contemporary,Wood,Slab / Mat / Raft,Asphalt,,2.0,True,2.0,Attached,True,Central,True,Forced Air,10.0,,,,1973.0,5.0,4.0
